section,inches,round up,feet,Note,,,
1,9.1,11.00,0.76,,,,
2,78.625,80.00,6.55,,,Total Ft,221.4416667
3,18,19.00,1.50,,,Total round up,229.1666667
4,6.375,8.00,0.53,,,,
5,190.1,192.00,15.84,,,,
6,209.5,211.00,17.46,,,,
7,25.8,27.00,2.15,,,,
8,38.85,40.00,3.24,,,,
9,30.1,32.00,2.51,,,,
10,5.5,7.00,0.46,,,,
11,95.75,97.00,7.98,,,,
12,24.25,26.00,2.02,,,,
13,11.4,13.00,0.95,,,,
14,21,22.00,1.75,,,,
23,37.5,39.00,3.13,,,,
24,26.2,28.00,2.18,,,,
25,4.8,6.00,0.40,,,,
26,27.25,29.00,2.27,,,,
27,2.75,4.00,0.23,,,,
28,2.875,4.00,0.24,,,,
29,19.55,21.00,1.63,,,,
30,5.4,7.00,0.45,,,,
31,18.95,20.00,1.58,,,,
32,52.5,54.00,4.38,,,,
33,6.6,8.00,0.55,,,,
34,11,12.00,0.92,,,,
35,4.85,6.00,0.40,,,,
36,58.4,60.00,4.87,,,,
37,85.6,87.00,7.13,,,,
38,1.2,3.00,0.10,,,,
39,21,22.00,1.75,,,,
40,31.75,33.00,2.65,,,,
44,3.4,5.00,0.28,,,,
45,42.75,44.00,3.56,,,,
46,43.75,45.00,3.65,,,,
47,8.5,10.00,0.71,,,,
48,28.75,30.00,2.40,,,,
50,19,20.00,1.58,,,,
51,38,39.00,3.17,,,,
52,6.25,8.00,0.52,,,,
53,5.5,7.00,0.46,,,,
54,4,5.00,0.33,,,,
55,32.875,34.00,2.74,,,,
56,65.5,67.00,5.46,,,,
57,16.25,18.00,1.35,,,,
58,127.125,129.00,10.59,,,,
59,139.125,141.00,11.59,,,,
60,19.75,21.00,1.65,,,,
61,5.5,7.00,0.46,,,,
62,80.5,82.00,6.71,,,,
63,203.5,205.00,16.96,,,,
64,155,156.00,12.92,,,,
65,36,37.00,3.00,,,,
66,34.125,36.00,2.84,,,,
67,5.375,7.00,0.45,,,,
68,51.625,53.00,4.30,,,,
69,51.5,53.00,4.29,,,,
70,14.5,16.00,1.21,,,,
71,53.5,55.00,4.46,,,,
72,14.5,16.00,1.21,,,,
73,24,25.00,2.00,,,,
74,41,42.00,3.42,,,,
80,24.5,26.00,2.04,,,,
81,31,32.00,2.58,,,,
82,24.5,26.00,2.04,,,,
75,23.625,25.00,1.97,,,,
